V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74,I75,I76,I77,I78,I79,I80,I81,I82,I83,I84,I85,Voc,Jsc,FF,eta,V_MPP,J_MPP,T,N_A,N_t,mu_h,intensity,ID_def
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.51553632e+01,-2.51416315e+01,-2.51276260e+01,-2.51133371e+01,-2.50987550e+01,-2.50838691e+01,-2.50686691e+01,-2.50531431e+01,-2.50372797e+01,-2.50210658e+01,-2.50044882e+01,-2.49875328e+01,-2.49701851e+01,-2.49524292e+01,-2.49342487e+01,-2.49156260e+01,-2.48965425e+01,-2.48769787e+01,-2.48569136e+01,-2.48363251e+01,-2.48151896e+01,-2.47934819e+01,-2.47711752e+01,-2.47482409e+01,-2.47246533e+01,-2.47003847e+01,-2.46753844e+01,-2.46496119e+01,-2.46230350e+01,-2.45956099e+01,-2.45672895e+01,-2.45380228e+01,-2.45077544e+01,-2.44764243e+01,-2.44439674e+01,-2.44103124e+01,-2.43753816e+01,-2.43390900e+01,-2.43013439e+01,-2.42620404e+01,-2.42210659e+01,-2.41782940e+01,-2.41335843e+01,-2.40867796e+01,-2.40377044e+01,-2.39861587e+01,-2.39319165e+01,-2.38747178e+01,-2.38142602e+01,-2.37501866e+01,-2.36820653e+01,-2.36093586e+01,-2.35313711e+01,-2.34471629e+01,-2.33553947e+01,-2.32540490e+01,-2.31399060e+01,-2.30075315e+01,-2.28472924e+01,-2.26414116e+01,-2.23560880e+01,-2.19257355e+01,-2.12216195e+01,-1.99902786e+01,-1.77358270e+01,-1.35062683e+01,-5.54255394e+00,9.18838559e+00,3.53386234e+01,7.88308643e+01,1.45377559e+02,2.38548840e+02,3.59150634e+02,5.05824829e+02,6.77221276e+02,8.72381228e+02,1.09188888e+03,1.33940797e+03,1.61877357e+03,1.93717442e+03,2.30072898e+03,2.71536974e+03,3.18611895e+03,3.71483955e+03,4.29910521e+03,0.844470,24.70759322,77.2072,16.1091,0.738338,21.81810883,300.00,1.000e+15,1.000e+15,1.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.51568757e+01,-2.51431233e+01,-2.51290961e+01,-2.51147853e+01,-2.51001808e+01,-2.50852720e+01,-2.50700487e+01,-2.50544988e+01,-2.50386109e+01,-2.50223718e+01,-2.50057688e+01,-2.49887872e+01,-2.49714127e+01,-2.49536293e+01,-2.49354207e+01,-2.49167691e+01,-2.48976562e+01,-2.48780620e+01,-2.48579659e+01,-2.48373456e+01,-2.48161774e+01,-2.47944362e+01,-2.47720951e+01,-2.47491255e+01,-2.47254999e+01,-2.47011889e+01,-2.46761470e+01,-2.46503347e+01,-2.46237167e+01,-2.45962493e+01,-2.45678853e+01,-2.45385736e+01,-2.45082588e+01,-2.44768808e+01,-2.44443745e+01,-2.44106683e+01,-2.43756848e+01,-2.43393386e+01,-2.43015362e+01,-2.42621744e+01,-2.42211394e+01,-2.41783048e+01,-2.41335302e+01,-2.40866580e+01,-2.40375122e+01,-2.39858931e+01,-2.39315731e+01,-2.38742909e+01,-2.38137417e+01,-2.37495624e+01,-2.36813112e+01,-2.36084316e+01,-2.35301932e+01,-2.34455889e+01,-2.33531480e+01,-2.32505897e+01,-2.31341502e+01,-2.29972637e+01,-2.28279326e+01,-2.26034434e+01,-2.22797250e+01,-2.17699343e+01,-2.09016859e+01,-1.93329745e+01,-1.63918631e+01,-1.07880650e+01,-1.51147628e-01,1.95550388e+01,5.43462214e+01,1.11525834e+02,1.97614696e+02,3.15973581e+02,4.66521621e+02,6.46641094e+02,8.53774797e+02,1.08557503e+03,1.34197559e+03,1.62365969e+03,1.93442594e+03,2.27765066e+03,2.65706291e+03,3.07700828e+03,3.53945031e+03,4.04544070e+03,4.59192395e+03,0.835915,24.70841033,77.4362,15.9938,0.731381,21.86792085,300.00,1.000e+15,1.000e+15,3.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.41684401e+01,-2.41444862e+01,-2.41199703e+01,-2.40948700e+01,-2.40691623e+01,-2.40428222e+01,-2.40158235e+01,-2.39881383e+01,-2.39597372e+01,-2.39305883e+01,-2.39006584e+01,-2.38699114e+01,-2.38383097e+01,-2.38058125e+01,-2.37723765e+01,-2.37379552e+01,-2.37024993e+01,-2.36659558e+01,-2.36282684e+01,-2.35893766e+01,-2.35492155e+01,-2.35077157e+01,-2.34648020e+01,-2.34203932e+01,-2.33744125e+01,-2.33267762e+01,-2.32773456e+01,-2.32260002e+01,-2.31726351e+01,-2.31171138e+01,-2.30592857e+01,-2.29989847e+01,-2.29360275e+01,-2.28702121e+01,-2.28013136e+01,-2.27290826e+01,-2.26532404e+01,-2.25734749e+01,-2.24894339e+01,-2.24007192e+01,-2.23068756e+01,-2.22073773e+01,-2.21016117e+01,-2.19888565e+01,-2.18682470e+01,-2.17387247e+01,-2.15989546e+01,-2.14471873e+01,-2.12810223e+01,-2.10970008e+01,-2.08899172e+01,-2.06516882e+01,-2.03695490e+01,-2.00232734e+01,-1.95809801e+01,-1.89928244e+01,-1.81813527e+01,-1.70265525e+01,-1.53426110e+01,-1.28419725e+01,-9.08047955e+00,-3.37620523e+00,5.30714232e+00,1.85029804e+01,3.83960247e+01,6.78840362e+01,1.10464134e+02,1.69776041e+02,2.48789456e+02,3.49150741e+02,4.70920324e+02,6.12846976e+02,7.72874150e+02,9.48294557e+02,1.13687769e+03,1.33686936e+03,1.54539899e+03,1.76128644e+03,1.98309710e+03,2.20940922e+03,2.43949168e+03,2.67237132e+03,2.90729184e+03,3.14360972e+03,3.38077701e+03,0.743244,23.34095874,67.1477,11.6488,0.608293,19.14998242,300.00,1.000e+15,1.000e+17,1.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.42968023e+01,-2.42744387e+01,-2.42515617e+01,-2.42281509e+01,-2.42041857e+01,-2.41796435e+01,-2.41545007e+01,-2.41287319e+01,-2.41023105e+01,-2.40752081e+01,-2.40473952e+01,-2.40188392e+01,-2.39895065e+01,-2.39593609e+01,-2.39283638e+01,-2.38964738e+01,-2.38636472e+01,-2.38298370e+01,-2.37949933e+01,-2.37590627e+01,-2.37219877e+01,-2.36837065e+01,-2.36441520e+01,-2.36032520e+01,-2.35609350e+01,-2.35171232e+01,-2.34717022e+01,-2.34245664e+01,-2.33756172e+01,-2.33247329e+01,-2.32717795e+01,-2.32166100e+01,-2.31590620e+01,-2.30989574e+01,-2.30360978e+01,-2.29702626e+01,-2.29012046e+01,-2.28286467e+01,-2.27522763e+01,-2.26717376e+01,-2.25866229e+01,-2.24964584e+01,-2.24006906e+01,-2.22986636e+01,-2.21895844e+01,-2.20724679e+01,-2.19460450e+01,-2.18086108e+01,-2.16577619e+01,-2.14899514e+01,-2.12997602e+01,-2.10787267e+01,-2.08135279e+01,-2.04832179e+01,-2.00550756e+01,-1.94782613e+01,-1.86739287e+01,-1.75196532e+01,-1.58249288e+01,-1.32927371e+01,-9.45972719e+00,-3.60517437e+00,5.38413095e+00,1.91913789e+01,4.02785919e+01,7.20257761e+01,1.18669178e+02,1.84780025e+02,2.74423157e+02,3.89889327e+02,5.31499289e+02,6.97914742e+02,8.85886391e+02,1.09254221e+03,1.31469930e+03,1.54991480e+03,1.79477368e+03,2.04757887e+03,2.30649473e+03,2.56953108e+03,2.83618669e+03,3.10502952e+03,3.37514353e+03,3.64576372e+03,3.91625564e+03,0.743511,23.53016422,68.2680,11.9434,0.610427,19.56571685,300.00,1.000e+15,1.000e+17,3.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.68934263e+01,-2.68907762e+01,-2.68881198e+01,-2.68854565e+01,-2.68827847e+01,-2.68801013e+01,-2.68774037e+01,-2.68746872e+01,-2.68719471e+01,-2.68691780e+01,-2.68663741e+01,-2.68635288e+01,-2.68606361e+01,-2.68576893e+01,-2.68546822e+01,-2.68516088e+01,-2.68484638e+01,-2.68452421e+01,-2.68419392e+01,-2.68385514e+01,-2.68350755e+01,-2.68315084e+01,-2.68278470e+01,-2.68240885e+01,-2.68203080e+01,-2.68180280e+01,-2.68125364e+01,-2.68082898e+01,-2.68039369e+01,-2.67994715e+01,-2.67948872e+01,-2.67901772e+01,-2.67878860e+01,-2.67826527e+01,-2.67772906e+01,-2.67717889e+01,-2.67661356e+01,-2.67603179e+01,-2.67543209e+01,-2.67481264e+01,-2.67417116e+01,-2.67350451e+01,-2.67280803e+01,-2.67207423e+01,-2.67129033e+01,-2.67043353e+01,-2.66946203e+01,-2.66829796e+01,-2.66679467e+01,-2.66467470e+01,-2.66141153e+01,-2.65600488e+01,-2.64655443e+01,-2.62945184e+01,-2.59785320e+01,-2.53879761e+01,-2.42778821e+01,-2.21864222e+01,-1.82457888e+01,-1.08324281e+01,3.07288533e+00,2.90370843e+01,7.71982053e+01,1.65685446e+02,3.26049006e+02,6.11144949e+02,1.10470829e+03,1.92972697e+03,3.24940743e+03,5.25139579e+03,8.11202166e+03,1.19480204e+04,1.67668011e+04,2.24598846e+04,2.87957062e+04,3.54826946e+04,4.21744071e+04,4.85373389e+04,5.43197891e+04,5.93769640e+04,6.36845791e+04,6.73617502e+04,7.05369834e+04,7.33589357e+04,7.59261977e+04,0.710528,26.81854282,81.6895,15.5662,0.614578,25.32827750,300.00,1.000e+17,1.000e+15,1.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.68983229e+01,-2.68956610e+01,-2.68929929e+01,-2.68903177e+01,-2.68876334e+01,-2.68849376e+01,-2.68822271e+01,-2.68794976e+01,-2.68767443e+01,-2.68739620e+01,-2.68711446e+01,-2.68682860e+01,-2.68653799e+01,-2.68624195e+01,-2.68593986e+01,-2.68563113e+01,-2.68531520e+01,-2.68499157e+01,-2.68465981e+01,-2.68431956e+01,-2.68397048e+01,-2.68361227e+01,-2.68324465e+01,-2.68286731e+01,-2.68248768e+01,-2.68225710e+01,-2.68170724e+01,-2.68128105e+01,-2.68084421e+01,-2.68039611e+01,-2.67993609e+01,-2.67946348e+01,-2.67923044e+01,-2.67870551e+01,-2.67816765e+01,-2.67761577e+01,-2.67704866e+01,-2.67646500e+01,-2.67586318e+01,-2.67524124e+01,-2.67459657e+01,-2.67392540e+01,-2.67322191e+01,-2.67247630e+01,-2.67167146e+01,-2.67077617e+01,-2.66973260e+01,-2.66843218e+01,-2.66666950e+01,-2.66405482e+01,-2.65984730e+01,-2.65263801e+01,-2.63974842e+01,-2.61609039e+01,-2.57201112e+01,-2.48922903e+01,-2.33319616e+01,-2.03880850e+01,-1.48383679e+01,-4.39961370e+00,1.51628474e+01,5.16230508e+01,1.19040596e+02,2.42292130e+02,4.63990048e+02,8.54045097e+02,1.52019896e+03,2.61557325e+03,4.33563806e+03,6.89420824e+03,1.04772978e+04,1.51857420e+04,2.09791622e+04,2.76761626e+04,3.49570318e+04,4.24182353e+04,4.96512191e+04,5.62898082e+04,6.21143268e+04,6.70687821e+04,7.12360616e+04,7.48016316e+04,7.79243756e+04,8.07360117e+04,8.33244953e+04,0.699531,26.82309444,81.5355,15.2990,0.604261,25.31851554,300.00,1.000e+17,1.000e+15,3.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.26088204e+01,-2.25836366e+01,-2.25582018e+01,-2.25325022e+01,-2.25065258e+01,-2.24802649e+01,-2.24537195e+01,-2.24268969e+01,-2.23998095e+01,-2.23724686e+01,-2.23448781e+01,-2.23170303e+01,-2.22889043e+01,-2.22604684e+01,-2.22316833e+01,-2.22025065e+01,-2.21728971e+01,-2.21428217e+01,-2.21122586e+01,-2.20812010e+01,-2.20496530e+01,-2.20176223e+01,-2.19851095e+01,-2.19521021e+01,-2.19186516e+01,-2.18862456e+01,-2.18501441e+01,-2.18147706e+01,-2.17787621e+01,-2.17421109e+01,-2.17048122e+01,-2.16668517e+01,-2.16307410e+01,-2.15910981e+01,-2.15506872e+01,-2.15094651e+01,-2.14673998e+01,-2.14244611e+01,-2.13806088e+01,-2.13357866e+01,-2.12899276e+01,-2.12429579e+01,-2.11947868e+01,-2.11452805e+01,-2.10942260e+01,-2.10412764e+01,-2.09858495e+01,-2.09269290e+01,-2.08626971e+01,-2.07898648e+01,-2.07024238e+01,-2.05892967e+01,-2.04299062e+01,-2.01858338e+01,-1.97851477e+01,-1.90930050e+01,-1.78566082e+01,-1.56024467e+01,-1.14453134e+01,-3.73577652e+00,1.05838133e+01,3.71372035e+01,8.61457723e+01,1.75859349e+02,3.38000454e+02,6.25657714e+02,1.12286793e+03,1.95296638e+03,3.27949006e+03,5.29025595e+03,8.16145284e+03,1.20092867e+04,1.68401585e+04,2.25444157e+04,2.88890092e+04,3.55812621e+04,4.22736367e+04,4.86322711e+04,5.44064209e+04,5.94532950e+04,6.37508551e+04,6.74194878e+04,7.05882641e+04,7.34055755e+04,7.59695617e+04,0.700327,21.89566838,76.6283,11.7503,0.601533,19.53387192,300.00,1.000e+17,1.000e+17,1.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.26161214e+01,-2.25909095e+01,-2.25654357e+01,-2.25396849e+01,-2.25136453e+01,-2.24873130e+01,-2.24606929e+01,-2.24337988e+01,-2.24066487e+01,-2.23792563e+01,-2.23516254e+01,-2.23237446e+01,-2.22955888e+01,-2.22671209e+01,-2.22382977e+01,-2.22090729e+01,-2.21794049e+01,-2.21492617e+01,-2.21186262e+01,-2.20874972e+01,-2.20558844e+01,-2.20237975e+01,-2.19912357e+01,-2.19581822e+01,-2.19246827e+01,-2.18922117e+01,-2.18560560e+01,-2.18206146e+01,-2.17845366e+01,-2.17478191e+01,-2.17104591e+01,-2.16724409e+01,-2.16362509e+01,-2.15965473e+01,-2.15560714e+01,-2.15147822e+01,-2.14726506e+01,-2.14296472e+01,-2.13857298e+01,-2.13408384e+01,-2.12949028e+01,-2.12478448e+01,-2.11995631e+01,-2.11499014e+01,-2.10986028e+01,-2.10452374e+01,-2.09890630e+01,-2.09287562e+01,-2.08619107e+01,-2.07841139e+01,-2.06872138e+01,-2.05560471e+01,-2.03622556e+01,-2.00526246e+01,-1.95271369e+01,-1.85977502e+01,-1.69111702e+01,-1.38047025e+01,-8.03871198e+00,2.69576558e+00,2.26715995e+01,5.97191856e+01,1.27980534e+02,2.52451004e+02,4.75911368e+02,8.68496438e+02,1.53823237e+03,2.63855376e+03,4.36520137e+03,6.93206293e+03,1.05248853e+04,1.52438536e+04,2.10474421e+04,2.77530541e+04,3.50395817e+04,4.25023516e+04,4.97325182e+04,5.63642735e+04,6.21797010e+04,6.71249158e+04,7.12842988e+04,7.48438487e+04,7.79623153e+04,8.07709665e+04,8.33572302e+04,0.689749,21.90165523,76.6362,11.5772,0.591770,19.56360734,300.00,1.000e+17,1.000e+17,3.000e+01,100,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.51558063e+00,-2.51420691e+00,-2.51280594e+00,-2.51137679e+00,-2.50991795e+00,-2.50842885e+00,-2.50690834e+00,-2.50535516e+00,-2.50376828e+00,-2.50214624e+00,-2.50048797e+00,-2.49879160e+00,-2.49705608e+00,-2.49527970e+00,-2.49346079e+00,-2.49159754e+00,-2.48968822e+00,-2.48773081e+00,-2.48572304e+00,-2.48366293e+00,-2.48154799e+00,-2.47937571e+00,-2.47714339e+00,-2.47484818e+00,-2.47248939e+00,-2.47006608e+00,-2.46756736e+00,-2.46498802e+00,-2.46232801e+00,-2.45958292e+00,-2.45674800e+00,-2.45381813e+00,-2.45078765e+00,-2.44765056e+00,-2.44440023e+00,-2.44102951e+00,-2.43753050e+00,-2.43389456e+00,-2.43011219e+00,-2.42617273e+00,-2.42206459e+00,-2.41777472e+00,-2.41328756e+00,-2.40858632e+00,-2.40365003e+00,-2.39845431e+00,-2.39296733e+00,-2.38714938e+00,-2.38094496e+00,-2.37427809e+00,-2.36703895e+00,-2.35906376e+00,-2.35009897e+00,-2.33973419e+00,-2.32727888e+00,-2.31152243e+00,-2.29026917e+00,-2.25942226e+00,-2.21115748e+00,-2.13025229e+00,-1.98669166e+00,-1.72078150e+00,-1.21336672e+00,-2.27046793e-01,1.70674717e+00,5.49579972e+00,1.28293447e+01,2.66502484e+01,5.15300022e+01,9.33861893e+01,1.58058448e+02,2.49328074e+02,3.68195968e+02,5.13362734e+02,6.83499360e+02,8.77462977e+02,1.09610734e+03,1.34275133e+03,1.62124317e+03,1.93877881e+03,2.30143150e+03,2.71512631e+03,3.18490054e+03,3.71262619e+03,4.29587855e+03,0.778003,2.47078551,77.5172,14.9010,0.676359,2.20311328,300.00,1.000e+15,1.000e+15,1.000e+01,10,2
-0.500000,-0.479762,-0.459524,-0.439286,-0.419048,-0.398810,-0.378571,-0.358333,-0.338095,-0.317857,-0.297619,-0.277381,-0.257143,-0.236905,-0.216667,-0.196429,-0.176190,-0.155952,-0.135714,-0.115476,-0.095238,-0.075000,-0.054762,-0.034524,-0.014286,0.005952,0.026190,0.046429,0.066667,0.086905,0.107143,0.127381,0.147619,0.167857,0.188095,0.208333,0.228571,0.248810,0.269048,0.289286,0.309524,0.329762,0.350000,0.370238,0.390476,0.410714,0.430952,0.451190,0.471429,0.491667,0.511905,0.532143,0.552381,0.572619,0.592857,0.613095,0.633333,0.653571,0.673810,0.694048,0.714286,0.734524,0.754762,0.775000,0.795238,0.815476,0.835714,0.855952,0.876190,0.896429,0.916667,0.936905,0.957143,0.977381,0.997619,1.017857,1.038095,1.058333,1.078571,1.098810,1.119048,1.139286,1.159524,1.179762,1.200000,-2.51574645e+00,-2.51437104e+00,-2.51296822e+00,-2.51153710e+00,-2.51007649e+00,-2.50858529e+00,-2.50706294e+00,-2.50550781e+00,-2.50391883e+00,-2.50229474e+00,-2.50063425e+00,-2.49893562e+00,-2.49719800e+00,-2.49541936e+00,-2.49359821e+00,-2.49173260e+00,-2.48982087e+00,-2.48786100e+00,-2.48585086e+00,-2.48378818e+00,-2.48167065e+00,-2.47949582e+00,-2.47726085e+00,-2.47496300e+00,-2.47260103e+00,-2.47017359e+00,-2.46767118e+00,-2.46508886e+00,-2.46242583e+00,-2.45967765e+00,-2.45683957e+00,-2.45390650e+00,-2.45087274e+00,-2.44773231e+00,-2.44447876e+00,-2.44110470e+00,-2.43760228e+00,-2.43396306e+00,-2.43017726e+00,-2.42623451e+00,-2.42212275e+00,-2.41782919e+00,-2.41333831e+00,-2.40863261e+00,-2.40369133e+00,-2.39848878e+00,-2.39299295e+00,-2.38716171e+00,-2.38093848e+00,-2.37424283e+00,-2.36695937e+00,-2.35891096e+00,-2.34981773e+00,-2.33921414e+00,-2.32629195e+00,-2.30959190e+00,-2.28639420e+00,-2.25150161e+00,-2.19477875e+00,-2.09617340e+00,-1.91561089e+00,-1.57256107e+00,-9.05049139e-01,4.11259233e-01,3.01842669e+00,8.15701249e+00,1.81231306e+01,3.68546491e+01,7.02953128e+01,1.25763121e+02,2.09940090e+02,3.26400847e+02,4.75250266e+02,6.53911728e+02,8.59834832e+02,1.09059681e+03,1.34610070e+03,1.62695156e+03,1.93694170e+03,2.27939612e+03,2.65843015e+03,3.07717160e+03,3.53879856e+03,4.04397399e+03,4.58963894e+03,0.769647,2.47089433,77.7901,14.7935,0.670074,2.20773560,300.00,1.000e+15,1.000e+15,3.000e+01,10,2
